PAX_ID,DATA_VERSION_ID,DATA_VERSION_KIND_ID,DATA_VERSION_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,YEAR_NUM,MONTH_NUM,DATE,PORT_CODE_ID,IATA_CODE,IATA_ORIGIN,VP_REGION_NAME,VP_AREA_NAME,DF_MARKET_NAME,VP_REGION_ID,VP_AREA_ID,DF_MARKET_ID,COUNTRY_NAME,COUNTRY_ORIGIN_NAME,TRADE_CHANNEL_CODE,TRADE_CHANNEL_NAME,PORT_NAME,PORT_ORIGIN,TERMINAL_NAME,NATIONALITY,NATIONALITY_COUNTRY,CITIZEN_NATIONALITY,IS_FOREIGNER,DATA_TYPE,DOM_INTL,VALIDITY_DESC,DEPARTURE_ARRIVAL,PAX_QUANTITY,IS_CONNECTING,DF_DP_DESTINATION,DF_DP_DIRECT,UPCOMING_FLIGHT,IATA_DIRECT,AIRPORT_DIRECT,COUNTRY_DIRECT,IATA_DESTINATION,AIRPORT_DESTINATION,COUNTRY_DESTINATION
6199259265,2340,33,Pax 2023,3,M1ndset Nationalities,2023,5,1.05.2023,573,MAN,MAN,Europe,EU West,Great Britain,100,242,118,United Kingdom,United Kingdom,AI,Airports,Manchester Airport,Manchester Airport,Terminal 3,Nigeria,Nigeria,Nigeria,Y,I,International,Actual,A,0.37,N,,,,,,,,,
5614186055,2796,33,Pax 2026,3,M1ndset Nationalities,2026,10,1.10.2026,859,SJO,SJO,Americas,Central America,Costa Rica,107,172,26,Costa Rica,Costa Rica,AI,Airports,Juan Santamaria Intl Airport,Juan Santamaria Intl Airport,Main Terminal,Nepal,Nepal,Nepal,Y,I,International,Forecast,D,0.006,N,,,,,,,,,
5614070534,2800,33,Pax 2030,3,M1ndset Nationalities,2030,1,1.01.2030,767,PUY,PUY,Eurasia,Balkans,Croatia,130,245,27,Croatia,Croatia,AI,Airports,Pula Airport,Pula Airport,Main Terminal,South Africa,South Africa,South Africa,Y,I,International,Forecast,D,0.075,N,,,,,,,,,
8141853422,2798,33,Pax 2028,3,M1ndset Nationalities,2028,12,1.12.2028,1115,IXM,IXM,Middle East,ISC & Afghanistan,India,110,183,53,India,India,AI,Airports,Madurai Airport,Madurai Airport,Main Terminal,Singapore,Singapore,Singapore,Y,I,International,Forecast,D,0.191,N,,,,,,,,,
7021886767,2342,33,Pax 2025,3,M1ndset Nationalities,2025,5,1.05.2025,1526,CXR,CXR,China and SEA,Indochina,Vietnam,104,280,125,Vietnam,Vietnam,AI,Airports,Cam Ranh Intl Airport,Cam Ranh Intl Airport,Main Terminal,China,China,China,Y,I,International,Forecast,D,5.98,N,,,,,,,,,
5613672397,2806,33,Pax 2036,3,M1ndset Nationalities,2036,1,1.01.2036,1032,YQT,YQT,Americas,Canada,Canada,107,289,208,Canada,Canada,AI,Airports,Thunder Bay Airport,Thunder Bay Airport,Main Terminal,Italy,Italy,Italy,Y,I,International,Forecast,A,0.006,N,,,,,,,,,
5902308520,2796,33,Pax 2026,3,M1ndset Nationalities,2026,12,1.12.2026,338,GCI,GCI,Europe,EU West,Great Britain,100,242,118,United Kingdom,United Kingdom,AI,Airports,Guernsey Airport,Guernsey Airport,Main Terminal,Eritrea,Eritrea,Eritrea,Y,D,Domestic,Forecast,A,0.006,N,,,,,,,,,
6806483990,2340,33,Pax 2023,3,M1ndset Nationalities,2023,11,1.11.2023,38,AKL,AKL,China and SEA,Australia,New Zealand,104,176,158,New Zealand,New Zealand,AI,Airports,Auckland Airport,Auckland Airport,Main Terminal,Malaysia,Malaysia,Malaysia,Y,D,Domestic,Actual,A,0.468,N,,,,,,,,,
7571251691,2341,33,Pax 2024,3,M1ndset Nationalities,2024,7,1.07.2024,4749,KUT,KUT,Eurasia,Eastern Europe,Georgia,130,128,43,Georgia,Georgia,AI,Airports,David the Builder Kutaisi Intl Airport,David the Builder Kutaisi Intl Airport,Main Terminal,Saudi Arabia,Saudi Arabia,Saudi Arabia,Y,I,International,Actual,D,0.037,N,,,,,,,,,
5611443227,2796,33,Pax 2026,3,M1ndset Nationalities,2026,3,1.03.2026,6004,PEW,PEW,Middle East,ISC & Afghanistan,Pakistan,110,183,85,Pakistan,Pakistan,AI,Airports,Peshawar Airport,Peshawar Airport,Main Terminal,Belgium,Belgium,Belgium,Y,I,International,Forecast,D,0.006,N,,,,,,,,,
