YEAR_NUM,QUARTER_NUM,MONTH_NUM,MONTH_NAME,DATE,DATA_VERSION_ID,DATA_VERSION_NAME,DATA_VERSION_TYPE,DATA_VERSION_KIND_ID,DATA_VERSION_KIND_NAME,START_MONTH_NUM,VP_REGION_ID,VP_REGION_NAME,VP_AREA_ID,VP_AREA_NAME,DF_MARKET_ID,DF_MARKET_NAME,TRADE_CHANNEL_CODE,TRADE_CHANNEL_NAME,SUB_CHANNEL_ID,SUB_CHANNEL_NAME,LOCATION_ID,LOCATION_NAME,LOCATION_DESC,PORT_CODE_ID,IATA_CODE,PORT_CODE_NAME,TERMINAL_ID,TERMINAL_CODE,TERMINAL_NAME,POV_ID,POV_NAME,DEPARTURE_ARRIVAL,DEPARTURE_ARRIVAL_DESC,CUST_DEV_AREA_ID,CUST_DEV_AREA_NAME,CUST_DEV_MANAGER,STATUS_CODE,STATUS_NAME,SKU_ID,SKU_NAME,SKU_REF_ID,SKU_REF_NAME,PRODUCT_CATEGORY_GROUP_ID,PRODUCT_CATEGORY_GROUP_NAME,PRODUCT_CATEGORY_CODE,PRODUCT_CATEGORY_NAME,PRODUCT_CATEGORY_UOM_NAME,PRODUCT_CATEGORY_PLATFORM_ID,PRODUCT_CATEGORY_PLATFORM_NAME,BRAND_FAMILY_CODE,BRAND_FAMILY_NAME,SKU_GROUP_ID,SKU_GROUP_NAME,ORIGINAL_DESIGN_MARKET_CODE,ORIGINAL_DESIGN_MARKET_NAME,ORIGINAL_DESIGN_MARKET_DESC,SUB_MARKET_CODE,SUB_MARKET_NAME,SUB_MARKET_SHORT_NAME,ITEM_PER_BUNDLE,ITEM_PER_PACK,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_DESC,COMPANY_ID,COMPANY_NAME,CUSTOMER_GROUP_CODE,CUSTOMER_GROUP_NAME,DISTRIBUTION_HUB_ID,DISTRIBUTION_HUB_NAME,POV_OP_ID,POV_OP_NAME,KEY_ACCOUNT_GLOBAL_ID,KEY_ACCOUNT_GLOBAL_NAME,KEY_ACCOUNT_ID,KEY_ACCOUNT_NAME,PL_ITEM_CODE,PL_ITEM,SEQUENCE_NUM,UOM_NAME,UOM_NUM,VOLUME,STICK_EQUIVALENT,STICK_EQUIVALENT_VOLUME,CURRENCY_CODE,AMOUNT,USD_AMOUNT
2023,1,2,February,1.02.2023,3622,COT 2023 ACT,AC,113,COT Projection,,130,Eurasia,181,Turkey,116,Turkey,BO,Borders,1,Border,3570,Esendere Turkey Iran Border,Esendere Turkey Iran Border (Turkey/Iran-Borders),,,,,,,13828,Setur Esendere Arrival / TR Iran Border,A,Arrival,42,Turkey Borders & NTR,Emre Okten,O,Active,14587,PARLIAMENT - NIGHT BLUE KS RCB WHITE - TURKEY DF,14587,PARLIAMENT - NIGHT BLUE KS RCB WHITE - TURKEY DF,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,PARLI,PARLIAMENT,1171,PARLIAMENT - NIGHT BLUE KS RCB,TR05,TURKEY DF,TURKEY DF,1,-,,200,20,2932,SETUR SERVIS TU A.S.,SETUR SERVIS TU A.S. (3230-2166078),3230,PM TRAVEL RTL TR DF,129,Setur Servis Turist.,4,Istanbul Hub,7563,Setur Servis Turistik A.S,,,,,NOR,PMIDF NOR,13,Th.,1000,,1000,,TRY,-1186.368,-62.94001511
2024,2,5,May,1.05.2024,3925,COT 2024 ACT,AC,113,COT Projection,,109,Japan and Korea,175,Japan,59,Japan,AI,Airports,3,Airport Shop,490,Tokyo - Narita,Tokyo - Narita (Japan-Airports),671,NRT,Narita Intl Airport (formerly New Tokyo Intl),503,NRT1,Terminal 1,864,ADF T1 (Satellite 4),D,Departure,24,Japan,Akiko Tanaka,O,Active,23733,RRP HTP Sticks TEREA - BLACK TROPICAL MENTHOL MENTHOL SLIMS WHITE - JAPAN DF,23733,RRP HTP Sticks TEREA - BLACK TROPICAL MENTHOL MENTHOL SLIMS WHITE - JAPAN DF,1,Consumables,M0101,RRP HTP Sticks,RRP HTP Sticks (Th.),1,P1,TEREA,TEREA,6887,RRP HTP Sticks TEREA - BLACK TROPICAL MENTHOL MENTHOL,JP05,JAPAN DF,JAPAN DF,1,-,,200,20,3073,ANA TRADING DF CO,ANA TRADING DF CO (1695-10092509),1695,PMJLTD,256,Generic Japan,3,Hong Kong Hub,8597,"JP (Others) - ANA Trading Duty Free Co., Ltd.",,,233,ANA Trading Group,NOR,PMIDF NOR,13,Th.,1000,,1000,,JPY,13928.665,89.4304042
2023,4,12,December,1.12.2023,3622,COT 2023 ACT,AC,113,COT Projection,,120,Africa,238,North Africa,115,Tunisia,AI,Airports,3,Airport Shop,313,Jerba,Jerba (Tunisia-Airports),252,DJE,Djerba-Zarzis Intl Airport,1177,DJE,Main Terminal,1920,"TDF Jerba, Arrival",A,Arrival,28,North West Africa,Anass Benmessaoud,O,Active,23369,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,23369,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,MARLB,MARLBORO,6031,MARLBORO - GOLD (3.5) KS RCB,GX05,GENERIC DF-ENG TXT,GENERIC DF-ENG TXT,118,ALTERNATIVE,ALTER,200,20,2967,COBWEB HEINEMANN,COBWEB HEINEMANN (1109-2270300),1109,PM WORLD TRADE,267,Cobweb Distrib. SA,4,Istanbul Hub,8996,Tunisia Duty Free,2,Heinemann Global,1,Gebr. Heinemann,NOR,PMIDF NOR,13,Th.,1000,,1000,,EUR,559.64,608.5828194
2025,2,5,May,1.05.2025,4192,COT 2025 ACT,AC,113,COT Projection,,107,Americas,215,Caribbean,32,Dominican Republic,AI,Airports,3,Airport Shop,578,Puerto Plata,Puerto Plata (Dominican Republic-Airports),749,POP,Puerto Plata Airport,333,POP,Main Terminal,3450,Celebrity (7502_22),D,Departure,8,Central America & Caribbean,Juan Zamorano,O,Active,25272,L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,25272,L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,L&M,L&M,5216,L&M - DOUBLE FORWARD MENTHOL KS RCB,GX05,GENERIC DF-ENG TXT,GENERIC DF-ENG TXT,1,-,,200,20,2930,"WEITNAUER, PANAMA","WEITNAUER, PANAMA (1109-2164800)",1109,PM WORLD TRADE,149,Weitnauer Distr. Ltd,2,EU&LatAm Hub,8848,Inversiones Tunc S.A.,1,Dufry Global,2,Dufry,NOR,PMIDF NOR,13,Th.,1000,,1000,,USD,62.25,62.25
2024,2,6,June,1.06.2024,3925,COT 2024 ACT,AC,113,COT Projection,,100,Europe,242,EU West,118,Great Britain,AI,Airports,3,Airport Shop,122,Bristol,Bristol (Great Britain-Airports),143,BRS,Bristol Airport,280,BRS,Main Terminal,1685,Bristol BRS WDF Main - 425,D,Departure,17,EU West,Tomasz Zuzlik,O,Active,21299,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,21299,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600 SPECIAL OUTER - UNITED KINGDOM DF - IDM UNITED KINGDOM,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,MARLB,MARLBORO,4903,MARLBORO - GOLD (2.0 ORIGINAL) KS RCB 600,UK05,UNITED KINGDOM DF,UNITED KINGDOM DF,76,IDM UNITED KINGDOM,UK,600,20,2942,Overseas (GBP),Overseas (GBP) (1109-2230514),1109,PM WORLD TRADE,107,Overseas Trading,2,EU&LatAm Hub,4472,World Duty Free Group (UK),1,Dufry Global,3,World Duty Free Group,NOR,PMIDF NOR,13,Th.,1000,,1000,,GBP,892.62,1134.084414
2024,4,11,November,1.11.2024,3925,COT 2024 ACT,AC,113,COT Projection,,110,Middle East,302,GCC & Yemen,8,Bahrain,AI,Airports,3,Airport Shop,2966,Manama,Manama (Bahrain-Airports),76,BAH,Bahrain Intl Airport,423,BAH,Main Terminal,3509,Bahrain Duty Free Departure,D,Departure,18,GCC & Yemen,Efe Dogruoglu,O,Active,21442,PARLIAMENT - AQUA BLUE KS RCS 400 TRANSPARENT BUNDLE WHITE - GENERIC DF-ENG TXT,21442,PARLIAMENT - AQUA BLUE KS RCS 400 TRANSPARENT BUNDLE WHITE - GENERIC DF-ENG TXT,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,PARLI,PARLIAMENT,4994,PARLIAMENT - AQUA BLUE KS RCS 400,GX05,GENERIC DF-ENG TXT,GENERIC DF-ENG TXT,1,-,,400,20,3045,Rash. GCC,Rash. GCC (1109-2465151),1109,PM WORLD TRADE,120,Rashideen Intl. Trd.,1,MEA Hub,8922,Bahrain Duty Free,,,7,Aer Rianta International,NOR,PMIDF NOR,13,Th.,1000,,1000,,USD,8756.94,8756.94
2023,4,12,December,1.12.2023,3622,COT 2023 ACT,AC,113,COT Projection,,110,Middle East,302,GCC & Yemen,8,Bahrain,AI,Airports,3,Airport Shop,2966,Manama,Manama (Bahrain-Airports),76,BAH,Bahrain Intl Airport,423,BAH,Main Terminal,3509,Bahrain Duty Free Departure,D,Departure,18,GCC & Yemen,Efe Dogruoglu,O,Active,21940,RRP HTP Sticks TEREA - AMBER SLIMS WHITE - DF 30-0% ENG HW SH,21940,RRP HTP Sticks TEREA - AMBER SLIMS WHITE - DF 30-0% ENG HW SH,1,Consumables,M0101,RRP HTP Sticks,RRP HTP Sticks (Th.),1,P1,TEREA,TEREA,6289,RRP HTP Sticks TEREA - AMBER,RH05,DF 30-0% ENG HW SH,DF 30-0% ENG HW SHOVEL BLEND,1,-,,200,20,3045,Rash. GCC,Rash. GCC (1109-2465151),1109,PM WORLD TRADE,120,Rashideen Intl. Trd.,1,MEA Hub,8922,Bahrain Duty Free,,,7,Aer Rianta International,NOR,PMIDF NOR,13,Th.,1000,,1000,,USD,7390.2,7390.2
2023,1,2,February,1.02.2023,3622,COT 2023 ACT,AC,113,COT Projection,,130,Eurasia,181,Turkey,116,Turkey,AI,Airports,3,Airport Shop,338,Kayseri Airport,Kayseri Airport (Turkey-Airports),624,ASR,Erkilet Intl Airport,232,ASR,Main Terminal,23,Net Kayseri Arrival,A,Arrival,41,Turkey Airports,Goksel Gozutok,O,Active,21224,L&M - BLUE LABEL (5.0 CWB) KS RCB - TURKEY DF,21224,L&M - BLUE LABEL (5.0 CWB) KS RCB - TURKEY DF,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,L&M,L&M,5986,L&M - BLUE LABEL (5.0 CWB) KS RCB,TR05,TURKEY DF,TURKEY DF,1,-,,200,20,3050,INTL OPS SVCS TR,INTL OPS SVCS TR (3230-2467129),3230,PM TRAVEL RTL TR DF,268,INTL OPS&SVCS,4,Istanbul Hub,7804,Net,1,Dufry Global,4,Nuance,NOR,PMIDF NOR,13,Th.,1000,,1000,,EUR,35.1,37.57306733
2024,1,3,March,1.03.2024,3925,COT 2024 ACT,AC,113,COT Projection,,100,Europe,242,EU West,39,France,AI,Airports,3,Airport Shop,524,Paris Orly,Paris Orly (France-Airports),697,ORY,Orly Intl Airport,8443,ORY3,Terminal 3,15036,LOB1_BUY PARIS DUTY FREE,D,Departure,17,EU West,Tomasz Zuzlik,O,Active,21309,MARLBORO - (RED FWD) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,21309,MARLBORO - (RED FWD) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,1,Consumables,F0101,Cigarettes,Cigarettes (Th.),2,CC,MARLB,MARLBORO,4668,MARLBORO - (RED FWD) KS BOX,FR05,FRANCE DF GHW-FR05,FRANCE DF GHW-FR05,73,IDM FRANCE,FR,200,20,98,Ets. M. Pons SA,Ets. M. Pons SA (1109-100556),1109,PM WORLD TRADE,59,Ets. M. Pons SA,2,EU&LatAm Hub,9429,Aeroboutique France SAS,3,Lagardere Global,6,Aelia,NOR,PMIDF NOR,13,Th.,1000,,1000,,EUR,6639.22,7218.322999
2025,2,5,May,1.05.2025,4192,COT 2025 ACT,AC,113,COT Projection,,130,Eurasia,235,Greece & Cyprus,47,Greece,BO,Borders,1,Border,1033,Greece/Albania,Greece/Albania (Greece/Albania-Borders),,,,,,,5284,Sagiada,D,Departure,40,"Greece, Israel, Cyprus",Ozan Kucukkayikci,O,Active,24123,RRP HTP Sticks TEREA - WARM FUSE SLIMS WHITE - 30-30% ENG HW EU DF - IDM GREECE,24123,RRP HTP Sticks TEREA - WARM FUSE SLIMS WHITE - 30-30% ENG HW EU DF - IDM GREECE,1,Consumables,M0101,RRP HTP Sticks,RRP HTP Sticks (Th.),1,P1,TEREA,TEREA,6825,RRP HTP Sticks TEREA - WARM FUSE,RP05,30-30% ENG HW EU DF,30-30% ENG HW EU DF,77,IDM GREECE,GR,200,20,2994,DFS - Greece,DFS - Greece (1109-2378530),1109,PM WORLD TRADE,268,INTL OPS&SVCS,4,Istanbul Hub,5014,Hellenic Duty Free Shops S.A.,1,Dufry Global,26,Folli Follie,NOR,PMIDF NOR,13,Th.,1000,,1000,,EUR,72.76,82.04723337
