Market-TC,Location,GeoKey
Afghanistan-Borders,"Spinboltak, Hairatan, Khost, Turkhem, Towaraghondi, Shir Khan","175-BO-1197, 175-BO-1044, 175-BO-1084, 175-BO-1214, 175-BO-1210, 175-BO-1194"
Afghanistan-Diplomatic,Kabul,175-DI-1250
Albania-Airports,Tirana,1-AI-718
Algeria-Airlines,Algiers,2-AR-799
Algeria-Airports,"Oran, Constantine, Algiers","2-AI-522, 2-AI-3634, 2-AI-27"
Angola-Airports,Luanda,128-AI-406
Angola-Shipchandling,Luanda,128-SH-3433
Argentina-Airports,"Bariloche, Mendoza, Buenos Aires - Ezeiza, Buenos Aires Aeroparque, Cordoba, Rosario","3-AI-74, 3-AI-453, 3-AI-222, 3-AI-14, 3-AI-176, 3-AI-4165"
Argentina-Borders,"Ushuaia, Iguazu","3-BO-1226, 3-BO-1152"
Armenia-Airports,Yerevan,4-AI-782
Armenia-Borders,"Armenia - Iran, Armenia - Georgia","4-BO-2717, 4-BO-3732"
Aruba-Airports,Oranjestad,129-AI-52
Aruba-Shipchandling,Oranjestad Port,129-SH-2051
Australia-Airlines,Sydney,5-AR-936
Australia-Airports,"Melbourne, Coolangatta, Perth, Brisbane, Cairns, Adelaide, Sydney, Darwin","5-AI-451, 5-AI-172, 5-AI-549, 5-AI-120, 5-AI-130, 5-AI-12, 5-AI-694, 5-AI-191"
Australia-Diplomatic,"Sydney, Canberra","5-DI-1326, 5-DI-1271"
Australia-Military,Sydney,5-MI-2929
Australia-Shipchandling,"Sydney, Perth, Brisbane, Adelaide, Hobart, Darwin, Melbourne, Newcastle, Cairns","5-SH-2405, 5-SH-2312, 5-SH-2081, 5-SH-2037, 5-SH-2413, 5-SH-2117, 5-SH-2263, 5-SH-2284, 5-SH-2292"
Austria-Airlines,Vienna,6-AR-946
Austria-Airports,"Graz, Vienna, Linz, Salzburg","6-AI-261, 6-AI-755, 6-AI-399, 6-AI-619"
Austria-Diplomatic,Vienna,6-DI-1336
Azerbaijan-Airports,"Ganja, Baku","7-AI-243, 7-AI-62"
Bahrain-Airports,Manama,8-AI-2966
Bahrain-Shipchandling,"Salman Port, Manama","8-SH-2328, 8-SH-2967"
Bangladesh-Airlines,Dhaka,9-AR-3444
Bangladesh-Airports,Zia,9-AI-791
Bangladesh-Borders,Dhaka,9-BO-3425
Bangladesh-Diplomatic,Dhaka,9-DI-1278
Barbados-Airports,Bridgetown,130-AI-119
Barbados-Ferries,Bridgetown Port,130-FE-1404
Belarus-Airlines,MInsk,10-AR-3937
Belarus-Airports,Minsk,10-AI-458
Belarus-Borders,"Belarus/Poland, Belarus/Lithuania, Belarus/Ukraine, Belarus/Latvia","10-BO-972, 10-BO-971, 10-BO-973, 10-BO-970"
Belarus-Diplomatic,Minsk,10-DI-2713
Belgium-Airlines,Brussels,11-AR-816
Belgium-Airports,"Charleroi, Brussels, Liege Bierset","11-AI-2952, 11-AI-126, 11-AI-394"
