AIRPORT_NAME,COUNTRY_NAME,NATIONALITY,IATA_CODE,DF_LOCATION,PAX,$/PAX tob. spend - PMI,PMI profit%,"% of COT, CC",% Prevalence,PMI SoB %,Nat. % of CT
Hartsfield-Jackson Atlanta Intl Airport,USA,USA,ATL,Hartsfield-Jackson,352131.254000000,0,0,0.85,0.000000000,0,0.673051145866
Denver Intl Airport,USA,USA,DEN,Denver,315948.629000000,0,0,0.85,0.000000000,0,0.690356349038
Dallas/Fort Worth Intl Airport,USA,USA,DFW,Dallas/Fort,305811.707000000,0,0,0.85,0.000000000,0,0.668610168675
O'Hare Intl Airport (formerly Orchard Depot Field),USA,USA,ORD,O'Hare,292013.650000000,0,0,0.85,0.000000000,0,0.662557003757
Los Angeles Intl Airport,USA,USA,LAX,Los,287090.545000000,0,0,0.85,0.000000000,0,0.602280799599
Haneda Airport,Japan,Japan,HND,Haneda,271215.220000000,1674.261532804,0.9404739343,0.85,0.840506524,0.9404739343,0.569170310575
Heathrow Airport,United Kingdom,United Kingdom,LHR,Heathrow,260431.676000000,608.544167231,0.8911175301,0.85,0.840227062,0.8911175301,0.304386663779
Dubai Intl Airport,UAE,,DXB,Dubai,237814.461000000,6792.034320384,0.8890709736,0.85,0.779823520,0.8890709736,0.376982550275
John F. Kennedy Intl Airport,USA,USA,JFK,John,233175.643000000,0,0,0.85,0.000000000,0,0.527566187520
McCarran Intl Airport,USA,USA,LAS,McCarran,226899.527000000,0,0,0.85,0.000000000,0,0.657155931400
Orlando Intl Airport,USA,USA,MCO,Orlando,226549.745000000,0,0,0.85,0.000000000,0,0.628701872960
Sao Paulo-Guarulhos Intl Airport,Brazil,Brazil,GRU,Sao,211626.351000000,187.525246088,0.9926461709,0.85,0.992831276,0.9926461709,0.721354487655
Charles de Gaulle Airport (Roissy Airport),France,France,CDG,Charles,211615.691000000,1384.422045008,0.7712890401,0.85,0.763653523,0.7712890401,0.365241375225
Indira Gandhi Intl Airport,India,India,DEL,Indira,210571.717000000,526.164281676,1,0.85,1.000000000,1,0.597778983775
Mexico City Intl Airport,Mexico,Mexico,MEX,Mexico,207844.799000000,317.776640954,0.9958098827,0.85,0.984304485,0.9958098827,0.681917289641
Charlotte Douglas Intl Airport,USA,USA,CLT,Charlotte,205456.962000000,0,0,0.85,0.000000000,0,0.688250895095
Guangzhou Baiyun Intl Airport,China,China,CAN,Guangzhou,204557.743000000,238.99386099,1,0.85,1.000000000,1,0.619596291694
El Dorado Intl Airport,Colombia,Colombia,BOG,El,201435.155000000,177.069227356,0.9584672066,0.85,0.967451935,0.9584672066,0.690674435652
Newark Liberty Intl Airport,USA,USA,EWR,Newark,199556.587000000,0,0,0.85,0.000000000,0,0.614673851883
Miami Intl Airport,USA,USA,MIA,Miami,199200.552000000,0,0,0.85,0.000000000,0,0.516318840321
Toronto Pearson Intl Airport,Canada,Canada,YYZ,Toronto,197997.851000000,0,0,0.85,0.000000000,0,0.596532716913
San Francisco Intl Airport,USA,USA,SFO,San,196723.829000000,0,0,0.85,0.000000000,0,0.612786644164
Madrid-Barajas Airport,Spain,Spain,MAD,Madrid-Barajas,194376.586000000,1119.626195525,0.8939626339,0.85,0.891767469,0.8939626339,0.385156162790
Phoenix Sky Harbor Intl Airport,USA,USA,PHX,Phoenix,194118.676000000,0,0,0.85,0.000000000,0,0.678887244213
Incheon Intl Airport,South Korea,South Korea,ICN,Incheon,193195.644000000,4490.511939208,0.8668330566,0.85,0.841895046,0.8668330566,0.428574414442
Seattle-Tacoma Intl Airport,USA,USA,SEA,Seattle-Tacoma,190809.488000000,0,0,0.85,0.000000000,0,0.667127443893
Singapore Changi Airport,Singapore,,SIN,Singapore,188996.159000000,1132.478274069,1,0.85,1.000000000,1,0.318649100165
Shanghai Pudong Intl Airport,China,China,PVG,Shanghai,186545.925000000,1056.232039807,1,0.85,1.000000000,1,0.585555916057
George Bush Intercontinental Airport,USA,USA,IAH,George,184969.693000000,0,0,0.85,0.000000000,0,0.621513855245
Amsterdam Airport Schiphol,Netherlands,Netherlands,AMS,Amsterdam,184968.831000000,654.695036498,0.9746734862,0.85,0.963401140,0.9746734862,0.352941393677
Istanbul Airport,Turkey,,IST,Istanbul,180490.637000000,6631.839390252,0.9919021588,0.85,0.991139070,0.9919021588,0.385139762125
Beijing Capital Intl Airport,China,China,PEK,Beijing,175523.745000000,740.702599247,1,0.85,1.000000000,1,0.619141769109
Shenzhen Bao'an Intl Airport,China,China,SZX,Shenzhen,169069.131000000,35.545734213,1,0.85,1.000000000,1,0.649737408303
Frankfurt Airport,Germany,Germany,FRA,Frankfurt,166939.528000000,762.557703829,0.9341983062,0.85,0.919606446,0.9341983062,0.412276108748
Soekarno-Hatta Intl Airport,Indonesia,Indonesia,CGK,Soekarno-Hatta,164116.696000000,161.611126453,0.9154275333,0.85,0.900363868,0.9154275333,0.604326058331
Barcelona-El Prat Airport,Spain,Spain,BCN,Barcelona-El,163171.972000000,1556.513144914,0.8998217525,0.85,0.898250965,0.8998217525,0.351911276772
Logan Intl Airport,USA,USA,BOS,Logan,160648.267000000,0,0,0.85,0.000000000,0,0.646770867438
Suvarnabhumi Airport,Thailand,,BKK,Suvarnabhumi,159919.494000000,0,0,0.85,0.000000000,0,0.340249719650
Chhatrapati Shivaji Intl Airport,India,India,BOM,Chhatrapati,150843.636000000,477.196327347,1,0.85,1.000000000,1,0.601726890222
Kuala Lumpur Intl Airport,Malaysia,Malaysia,KUL,Kuala,150641.082000000,611.326650026,0.8144645809,0.85,0.792665784,0.8144645809,0.427448695569
Leonardo da Vinci-Fiumicino Airport,Italy,Italy,FCO,Leonardo,148370.204000000,736.703499664,0.8634690685,0.85,0.856590321,0.8634690685,0.366278285902
King Abdulaziz Intl Airport,Saudi Arabia,,JED,King,143447.514000000,1193.235798134,0.960894516,0.85,0.957347384,0.960894516,0.323889258896
Hong Kong Intl Airport (Chek Lap Kok Airport),Hong Kong,,HKG,Hong,142384.381000000,1766.078653684,1,0.85,1.000000000,1,0.314468635433
Sydney Airport,Australia,Australia,SYD,Sydney,140439.977000000,13.517806038,0.5687051302,0.85,0.569579253,0.5687051302,0.599368739572
Fort Lauderdale-Hollywood Intl Airport,USA,USA,FLL,Fort,138795.007000000,0,0,0.85,0.000000000,0,0.604687061978
