Region,Country,Airport Name,Nationality,PAX (Mio),PAX Share,Average of P1 Awareness,Average of P1 Trial,Average of P1 P7D,Average of P1 Growth,Average of P4 Disposable Awareness,Average of P4 Disposable Trial,Average of P4 Disposable P7D,Average of P4 Disposable Growth,Average of P4 Closed Awareness,Average of P4 Closed Trial,Average of P4 Closed P7D,Average of P4 Closed Growth,Average of P5 Awareness,Average of P5 Trial,Average of P5 P7D,Average of P5 Growth
Japan and Korea,South Korea,Incheon Intl Airport,South Korea,24.6,62.4%,85.8%,56.0%,45.2%,80.7%,66.7%,25.9%,3.0%,11.5%,71.8%,31.9%,14.7%,46.1%,43.3%,9.0%,1.8%,19.5%
Europe,United Kingdom,Heathrow Airport,United Kingdom,21.2,41.8%,80.1%,35.4%,9.3%,26.3%,93.7%,65.2%,32.5%,49.8%,92.1%,58.8%,25.7%,43.6%,75.0%,34.3%,11.5%,33.7%
Europe,France,Charles de Gaulle Airport (Roissy Airport),France,20.0,49.9%,68.1%,19.8%,3.2%,16.1%,84.5%,35.7%,10.4%,29.1%,87.2%,43.1%,14.4%,33.5%,58.5%,12.8%,3.2%,25.1%
Americas,Canada,Toronto Pearson Intl Airport,Canada,19.4,71.1%,74.5%,33.8%,7.3%,21.8%,86.3%,51.6%,27.6%,53.6%,89.4%,58.7%,35.9%,61.3%,64.6%,28.2%,8.2%,28.9%
Europe,Germany,Frankfurt Airport,Germany,19.2,56.8%,86.7%,42.6%,15.6%,36.6%,85.8%,44.4%,13.5%,30.3%,86.9%,42.7%,13.2%,30.9%,68.9%,21.5%,5.4%,25.1%
Americas,USA,John F. Kennedy Intl Airport,USA,14.6,54.1%,,,,,,,,,,,,,,,,
Europe,Spain,Madrid-Barajas Airport,Spain,13.6,44.8%,82.5%,38.6%,14.1%,36.4%,84.7%,44.1%,10.8%,24.6%,85.8%,45.7%,12.3%,27.0%,49.6%,14.0%,2.4%,17.4%
Europe,United Kingdom,Gatwick Airport,United Kingdom,12.6,55.8%,80.1%,35.4%,9.3%,26.3%,93.7%,65.2%,32.5%,49.8%,92.1%,58.8%,25.7%,43.6%,75.0%,34.3%,11.5%,33.7%
Europe,Germany,Munich Airport (succeeded Munich-Riem Airport),Germany,11.9,55.1%,86.7%,42.6%,15.6%,36.6%,85.8%,44.4%,13.5%,30.3%,86.9%,42.7%,13.2%,30.9%,68.9%,21.5%,5.4%,25.1%
Americas,USA,Miami Intl Airport,USA,10.9,48.7%,,,,,,,,,,,,,,,,
Americas,Canada,Montreal-Pierre Elliott Trudeau Intl Airport,Canada,10.7,71.4%,74.5%,33.8%,7.3%,21.8%,86.3%,51.6%,27.6%,53.6%,89.4%,58.7%,35.9%,61.3%,64.6%,28.2%,8.2%,28.9%
China and SEA,China,Shanghai Pudong Intl Airport,PRC,10.0,70.6%,68.9%,29.1%,16.7%,57.2%,69.9%,30.3%,1.9%,6.2%,82.5%,35.1%,27.4%,78.0%,,,,
Americas,USA,Los Angeles Intl Airport,USA,9.8,52.9%,,,,,,,,,,,,,,,,
Middle East,UAE,Dubai Intl Airport,India,9.7,20.1%,,,,,,,,,,,,,,,,
Europe,Italy,Leonardo da Vinci-Fiumicino Airport,Italy,9.5,40.3%,92.4%,65.1%,39.0%,59.9%,86.1%,42.6%,8.0%,18.9%,88.8%,47.5%,12.4%,26.0%,59.4%,16.5%,2.7%,16.3%
Europe,Spain,Barcelona-El Prat Airport,Spain,9.2,38.0%,82.5%,38.6%,14.1%,36.4%,84.7%,44.1%,10.8%,24.6%,85.8%,45.7%,12.3%,27.0%,49.6%,14.0%,2.4%,17.4%
